,target_loc,Coordinates,latitude,longitude
0,"Anchorage, Alaska","(61.2163129, -149.894852)",61.2163129,-149.894852
1,"Hoover, Alabama","(33.4060825, -86.78985769796296)",33.4060825,-86.7898577
2,"Blount, Alabama","(33.9510169, -86.5702002)",33.9510169,-86.5702002
3,"Oneonta, Alabama","(33.9481537, -86.472764)",33.9481537,-86.472764
4,"Lanett, Alabama","(32.8687391, -85.1904971)",32.8687391,-85.1904971
5,"Clarke, Alabama","(31.659134, -87.8192486)",31.659134,-87.8192486
6,"Slocomb, Alabama","(31.1082335, -85.594378)",31.1082335,-85.594378
7,"Madison, Alabama","(34.7736807, -86.5675095)",34.7736807,-86.5675095
8,"Decatur, Alabama","(34.623709, -87.06705096491828)",34.623709,-87.06705096
9,"Riverside, Alabama","(33.6223605, -86.19463478254308)",33.6223605,-86.19463478
10,"Talladega, Alabama","(33.3967079, -86.1597137)",33.3967079,-86.1597137
11,"Tuscaloosa, Alabama","(33.2095614, -87.5675258)",33.2095614,-87.5675258
12,"Jasper, Alabama","(33.8312185, -87.2775053)",33.8312185,-87.2775053
13,"Crossett, Arkansas","(33.1281779, -91.9612427)",33.1281779,-91.9612427
14,"Benton, Arkansas","(36.3456186, -94.2670404)",36.3456186,-94.2670404
15,"Bentonville, Arkansas","(36.3728538, -94.2088172)",36.3728538,-94.2088172
16,"Rogers, Arkansas","(36.3320197, -94.1185366)",36.3320197,-94.1185366
17,"Siloam Springs, Arkansas","(36.1881365, -94.5404962)",36.1881365,-94.5404962
18,"Morrilton, Arkansas","(35.1509173, -92.7440538)",35.1509173,-92.7440538
19,"Jonesboro, Arkansas","(35.8428646, -90.7034522)",35.8428646,-90.7034522
20,"Conway, Arkansas","(35.2521996, -92.6888936)",35.2521996,-92.6888936
21,"Garland, Arkansas","(34.5488944, -93.1838539)",34.5488944,-93.1838539
22,"Hot Springs, Arkansas","(34.5038393, -93.0552437)",34.5038393,-93.0552437
23,"Paragould, Arkansas","(36.0584021, -90.4973286)",36.0584021,-90.4973286
24,"Marmaduke, Arkansas","(36.1860947, -90.3837068)",36.1860947,-90.3837068
25,"Independence, Arkansas","(35.718344, -91.55326)",35.718344,-91.55326
26,"Pine Bluff, Arkansas","(34.2157064, -92.0140402)",34.2157064,-92.0140402
27,"University of Arkansas:, Arkansas","(36.09352375, -94.17708979491738)",36.09352375,-94.17708979
28,"Lonoke, Arkansas","(34.7414404, -91.862792)",34.7414404,-91.862792
29,"Ward, Arkansas","(35.0303648, -91.950421)",35.0303648,-91.950421
